Gen,x0_0,x0_1,x1_0,x1_1,x2_0,x2_1,x3_0,x3_1,x4_0,x4_1,x5_0,x5_1,x6_0,x6_1,x7_0,x7_1,x8_0,x8_1,x9_0,x9_1,x10_0,x10_1,x11_0,x11_1,x12_0,x12_1,x13_0,x13_1,x14_0,x14_1,x15_0,x15_1,x16_0,x16_1,x17_0,x17_1,x18_0,x18_1,x19_0,x19_1,x20_0,x20_1,x21_0,x21_1,x22_0,x22_1,x23_0,x23_1,x24_0,x24_1,x25_0,x25_1,x26_0,x26_1,x27_0,x27_1,x28_0,x28_1,x29_0,x29_1,
1,-2.583080,-3.395118,-2.583080,-3.395118,-3.347932,-3.393335,-4.073265,3.443707,-2.289854,1.466098,-4.247538,6.509272,-3.860924,8.026288,0.062227,5.483133,0.062227,5.483133,-2.772686,-8.655676,-2.772686,-8.655676,-8.171093,-3.336017,-8.566309,-4.213210,-8.060529,5.389982,-8.060529,5.389982,-7.799102,5.001239,1.999086,-9.330692,0.787139,-10.628407,-7.714087,6.285369,-7.714087,6.285369,1.626401,10.212359,-9.327269,-1.578429,-9.327269,-1.578429,-4.102070,-10.316269,-12.446932,-2.047176,-5.824871,11.794790,-5.824871,11.794790,5.107011,-11.852184,5.107011,-11.852184,-13.316886,-1.342038,
2,-0.430628,1.210377,-0.430628,1.210377,0.983912,-1.303226,-3.101971,5.226614,-3.101971,5.226614,-2.964150,-4.888462,-0.994217,-2.941188,-0.994217,-2.941188,-3.528286,-5.682264,-1.884761,1.043267,-2.544787,3.186348,-2.373230,2.851254,-4.769449,-0.141537,-3.125571,-7.017311,0.809797,3.737048,-4.697807,1.097033,-0.235112,-3.763962,-0.235112,-3.763962,-5.095729,-2.430401,-2.384948,6.992148,-6.387117,2.255349,-4.500147,2.277083,-4.481879,2.514062,-3.083264,2.331019,-3.083264,2.331019,0.374214,3.967438,0.374214,3.967438,-0.630729,4.212244,4.633842,-3.958593,4.633842,-3.958593,
3,0.009348,1.072145,-0.628124,-0.104502,0.197294,1.290463,0.816830,-0.339592,-0.027434,1.860384,-0.941861,-1.494051,-0.866118,2.525872,-5.739087,-0.688959,-5.697266,-0.690220,-6.433401,-0.060459,2.892106,-5.612851,2.810386,4.721358,3.116395,-4.781476,-5.583292,0.779787,2.901036,5.709327,-1.207861,2.565048,1.019207,-2.743852,-5.524215,-0.811456,2.547517,-5.645842,2.702053,6.043959,1.192709,-2.906689,-3.597015,-5.282545,-1.541632,2.752677,-2.822631,3.833277,-2.822631,3.833277,-3.525334,4.363687,-1.486987,-2.973960,-5.129804,-0.516053,6.731293,0.564220,-2.138997,-3.669004,
4,-0.376319,-0.514588,-0.448567,1.543239,-0.899435,-0.684253,0.264743,1.803902,-0.507840,-1.956720,1.060824,-0.972656,1.051496,-1.086637,1.051496,-1.086637,-1.093909,-1.130519,-5.926198,-0.086614,-5.926198,-0.086614,-6.314082,-0.027411,-1.403257,-1.692688,-6.341787,-0.261771,0.704825,2.821014,-6.129321,1.019814,2.598758,4.909041,-1.094478,2.712466,3.358497,5.258218,-2.976935,-4.388883,-2.976935,-4.388883,-5.454368,1.085801,1.690066,1.396328,3.200948,4.108486,-3.271206,4.112622,-3.271206,4.112622,3.144429,-6.289939,3.263825,-3.921497,2.252882,5.454908,2.252882,5.454908,
5,0.206149,0.172205,0.662236,0.082614,0.151263,1.279597,-0.428797,1.785219,-0.428797,1.785219,0.298914,-1.887475,-0.982855,-1.094421,-0.347746,-2.026172,0.493686,-1.956849,-1.141843,-0.033884,-1.141843,-0.033884,-0.967182,-1.337985,-1.171197,-1.314578,1.286716,-0.562081,1.286716,-0.562081,-0.278799,-2.380754,1.122221,-1.853770,0.423196,-2.474114,1.098522,-2.446599,-3.070321,4.641994,-3.203687,-5.547913,-3.203687,-5.547913,-3.027192,4.600830,2.978065,4.558702,-2.953034,5.863341,-2.953034,5.863341,-3.212423,5.804735,2.515984,-5.312613,2.515984,-5.312613,1.413221,-2.479973,
6,-0.389419,-0.129858,0.533166,0.088850,0.526262,-1.527180,-1.154738,0.436521,-0.966877,-1.516708,-0.966877,-1.516708,-1.141618,-1.211075,0.497563,-2.223661,1.317371,-0.861323,1.317371,-0.861323,-0.978777,2.380253,6.117271,0.583667,1.145246,2.366857,3.019746,5.379727,3.282177,4.897422,-3.383244,4.937668,0.253901,-3.124630,-2.381028,3.979281,-0.447273,-3.138540,2.247702,-4.077455,-1.762530,-0.890238,-1.762530,-0.890238,-1.777992,0.710215,-1.683657,-2.890454,1.797564,-1.902094,1.797564,-1.902094,-2.126646,-4.941905,1.861125,-2.970548,1.861125,-2.970548,-1.986777,-3.306280,
7,-0.027805,0.058934,-0.027805,0.058934,0.073548,0.211980,0.728535,0.177070,0.728535,0.177070,-0.779015,0.389352,0.852514,1.340050,0.852514,1.340050,-0.405682,1.989271,1.286993,-0.603505,-1.292126,1.151473,-1.292126,1.151473,-1.355104,-0.492506,-1.214405,1.539869,-1.289013,1.543356,-1.328161,1.881323,-5.509407,-0.134379,2.904700,5.662735,2.904700,5.662735,-1.338912,2.316962,-3.162929,-4.684778,5.871366,-1.111500,5.871366,-1.111500,5.320142,0.288455,-2.485132,-4.750193,-2.485132,-4.750193,3.229722,-6.102086,1.707189,0.556807,1.707189,0.556807,0.915172,3.076188,
8,0.021628,-0.849907,0.256701,-0.854392,-0.719985,0.702135,-0.901807,0.566182,-0.761407,1.426183,0.811164,1.822603,0.811164,1.822603,0.232282,2.225060,-0.925003,-1.815794,1.220148,1.357780,1.220148,1.357780,-0.765421,-2.409886,1.023245,-2.295545,5.954722,-0.308300,-0.957211,-2.417638,1.472154,0.822613,1.498684,0.374708,-6.436586,0.124378,3.098504,4.767232,0.380065,2.918576,1.630500,-0.135116,2.694440,-5.725547,5.578775,1.016262,1.567921,1.933707,1.560586,-2.294548,1.690106,1.687421,-2.284595,-4.159771,0.765533,-3.221700,1.436882,3.169596,-3.415633,6.275990,
9,0.240580,-0.771875,-0.497569,1.048960,0.744677,-1.283299,0.608329,-1.534085,-1.033577,0.608274,0.868786,1.640243,-0.860759,1.906304,-1.240438,-0.892994,0.944655,-2.000914,0.944655,-2.000914,1.026460,-1.885125,1.026460,-1.885125,0.155148,-2.503916,0.155148,-2.503916,-0.176146,-2.512987,-0.176146,-2.512987,0.655816,2.395178,-1.407758,0.148343,1.471035,-0.386667,1.471035,-0.386667,-5.824107,-0.643893,-1.510695,1.244881,3.157291,-4.893039,-2.848978,-4.704727,2.617347,4.953160,6.429801,0.754776,-1.472887,2.203067,0.121605,2.987860,-1.164963,-2.952542,2.423116,4.124408,
10,-0.012406,-1.284350,0.773952,-0.785741,0.773952,-0.785741,-0.301545,1.644351,-0.301545,1.644351,1.013207,-0.337901,1.168998,-1.400340,0.883571,2.504081,-0.511810,2.718239,-0.511810,2.718239,1.559420,-0.561320,1.559420,-0.561320,2.962104,4.851448,-2.812118,5.510204,2.544781,4.407099,-3.301432,-5.852631,3.539116,5.193151,1.659902,1.877478,1.659902,1.877478,-1.546982,-2.814899,-1.546982,-2.814899,2.819657,6.457131,-3.321432,3.866391,-1.823017,1.281813,-1.823017,1.281813,1.854450,2.504898,1.885304,2.787812,0.206462,3.304143,-2.008332,2.924580,-1.521486,3.638195,
